Name,Cover URL,Depth,Stability,Init Linear,Description,Hex Code Color
welcome to the poppyverse,,0,0,0,"The Poppyverse's front door -- workplace comedy, growing pains, and everyday life for pilots and their mechanized partners, before things get complicated.",#E33B3B
deeper into the poppyverse,,2,2,40,"Same multiverse branch, deeper layers, fewer safety rails.",#E36D3B
sheep milk latte,,6,3,40,"Retired PILOT and DONOR run a sheep ranch, vend baked goods at farmers markets, and raise kids on bedtime stories that may violate a federal NDA.",#8F3BE3
lilyverse,,3,3,60,"DONOR keeps summoning a hologram with a familiar face and voice, and keeps being surprised by how much it still affects her.",#E3A03B
spider lilyverse,,8,2,60,"A reflective branch strung together with spider lilies, gold repair, and the things PILOT and DONOR keep trying to protect for each other.",#E3D23B
anomalies in pink,,3,2,60,Alternate versions of the same mech souls keep meeting each other across the multiverse to compare notes on their pilots.,#C1E33B
apple-y ever after,,1,1,80,"PILOT and DONOR live ordinary Apple Park tech lives, except reality keeps hairline-fracturing around them into timelines they never expected.",#8FE33B
area fifty-done,,3,10,80,"A top secret research base where the hallways forget basic geography, the elevator remembers people, and the incident log gave up trying to make sense of any of it.",#5DE33B
in another world,,2,5,100,"PILOT and DONOR's regular life, if regular life included extradimensional mech children, cemetery-adjacent small talk, and grocery-store readiness.",#3BB1E3
innately unabsolvable,,10,1,100,"The largest branch of the multiverse, and nobody's fully sure why.",#3B7EE3
things to do in dc,,2,5,100,"A sightseeing tour of Washington DC where the monuments answer back, the National Mall glows colored light, and the strangest variable is a woman named Iris with a working phone number.",#E33BD2
ultravioletverse,,7,8,100,"Live in the shadows, work in the shadows.",#E33BA0
desert roseverse,,4,10,120,A sun-bleached branch where the desert mirages aren’t the weirdest thing around.,#3BE34C
shibuya-verse,,5,10,120,"A writer publicly interrogates her own relationship to character arcs, identity, and spectacle, live, in manga panel form.",#3BE3B1
houston houston,,2,5,120,The Johnson Space Center Visitor Center has some unfiled anomalies.,#3BE3E3
beyond the poppyverse,,1,10,120,"Where the metaphors go cosmic -- souls, stars, and the site's own thesis statements about what any of this actually means.",#E33B6D
fireweedverse,,8,8,140,"A universe branch grown in the burn scar of Fire Force: spontaneous human combustion, Infernals, Company 8, and the terrible things that grow from bodies the fire did not finish.",#3BE37E
new types of newtypes,,1,1,140,Brainstorming notes for a Gundam-flavored afterlife where dying doesn't quite take.,#3B4CE3
psi-verse,,9,1,140,A crossover fusion with The Darkest Minds — a federal task force hunts psychic kids who'd rather just be left alone. Somewhere between a jailbreak and a eulogy.,#5D3BE3
the 43,,9,3,140,"A half-assed, failed fusion attempt with the 86 (Eighty-Six) universe — we tried to reach 86 but only made it halfway through the fourth wall before getting stuck. 86 divided by 2 is 43. Yay math. Welcome to the 43.",#C13BE3
other ours,,2,3,160,An extremely small crossover with exactly one job: put two enormous mechanical beings in a room and let them compare notes on how they each keep their humans alive -- or don't.,#8F3B6D
to be hero y,,1,2,160,"A hero economy runs on belief instead of money, and the newest icon used to be a firefighter with an ordinary apartment and a coffee habit.",#3B5DE3
tout a toulouse,,2,1,160,A French aerospace branch where the callsigns are prettier and the radio still crackles with the same old numbers station.,#E36D8F
