ID,Name,Sub-parts,Description,Cluster,Sub-cluster,Crossover,Characters,Content URL,Size,Connections,SSD Folder,SSD Root,Final X,Final Y,Final Z
69,Anomalies in Pink,1 / 2 / 3 / 4 / 5 / Dream in the Corridor / Dream in the Cupola / Units For Measure 1 / Units For Measure 2 / Poppies and Lilies / Fearless Flyers in Fuchsia / Pink Promenade,"PILOT and UNIT keep colliding with their own dark-mirror counterparts in an interdimensional pink storm, until the whole thing resolves into two tired commanders drinking coffee and watching their mechs fight it out like unruly kids.",anomalies in pink,,,PILOT; UNIT; DONOR; AUTOPILOT,https://inpoppyfields.tumblr.com/tagged/anomalies%20in%20pink/chrono,12,,anomalies in pink,the storm,666.11,207.83,131.23
50,Family Dysfunctions,p1 / p2,Group therapy nobody asked for.,anomalies in pink,,,UNIT; AUTOPILOT; NULL; KILOTON; DONOR; PILOT,,2,,anomalies in pink,family dysfunctions,630.17,-137.26,-61.04
683,Family Portrait,,A family photo taken from light-years away.,anomalies in pink,,,DONOR the anomalous extreterrestrial interdimensional entity; Director PILOT; UNIT is a cat,https://inpoppyfields.tumblr.com/post/810503484922281984/family-portrait,1,,,,507.76,115.12,69.82
202,FINALE,,"A board game, sore losers.",anomalies in pink,,,UNIT; AUTOPILOT,,1,,anomalies in pink,FINALE,642.01,-65.12,-27.34
409,Lilies and Poppies,,"Two paired vignettes: PILOT finds hope in a red poppy field with UNIT at her side, while DONOR kneels among white lilies with AUTOPILOT, still too frozen to believe in rebirth.",anomalies in pink,,,PILOT; UNIT; DONOR; AUTOPILOT,https://inpoppyfields.tumblr.com/post/761402778216235008/anomalies-in-pink-poppies-and-lilies,1,,anomalies in pink,lilies and poppies,741.8,130.61,97.14
642,Modern Family,P1 / P2 / P3 / P4,"A cheerful family sitcom setup, except the family tree has been folded into an paradoxical origami crane and nobody should ask follow-up questions.",anomalies in pink,,,LIANG; PILOT; LIANG; Older PILOT,https://inpoppyfields.tumblr.com/tagged/modern%20family/chrono,4,,,,812.51,113.82,90.19
61,Null Error,The Ruined Twin / The Mutated Twin,"UNIT finds its own corrupted mirror-model, a warped husk of what it could have become, and has to sit with how close the two of them actually are.",anomalies in pink,,,UNIT; PILOT,,2,,anomalies in pink,null error,601.21,-111.88,-48.34
431,OK Moms,,Two alternate-universe PILOTs.,anomalies in pink,,,PILOT,,1,,anomalies in pink,ok moms,687.19,-184.36,-38.99
143,Personnel in Pink,3 / 2,"UNIT and AUTOPILOT tour a reality-adjacent, pink-tinted world -- a Santa Monica pier, a Trader Joe's full of ghost-pastel snacks -- imagining the mundane lives they'd have gotten to live if the multiverse had left them alone.",anomalies in pink,,,UNIT; AUTOPILOT; DONOR,,2,,anomalies in pink,personnel in pink,705.12,-141.87,-37.0
667,Storm in Pink,,"Not the pink of blush and bows, but the pink of exposed flesh learning how to close.",anomalies in pink,,,PILOT; DONOR; UNIT; AUTOPILOT,https://inpoppyfields.tumblr.com/tagged/storm%20in%20pink/chrono,1,,,,786.14,167.8,119.32
276,Two Commanders,Calms in the Storms / Downtime,Parallel-universe commanders PILOT and DONOR run the same operation with opposite temperaments.,anomalies in pink,,,PILOT; UNIT; DONOR; AUTOPILOT,,2,,anomalies in pink,two commanders,631.96,-114.96,-33.65
16,Units for Measure,p1 / p2,A tape measure disagreement.,anomalies in pink,,,UNIT; darker UNIT; PILOT; DONOR,https://inpoppyfields.tumblr.com/tagged/units%20for%20measure/chrono,2,,anomalies in pink,units for measure,615.26,97.73,74.67
370,File a Radar,,"A surreal catalogue of glitched Apple UI: missed FaceTime calls from AUTOPILOT, strange Messages threads with UNIT, bug reports that come back as 'this is your family now', domestic tech weirdness with a found-family punchline.",apple-y ever after,,,PILOT; DONOR; UNIT; AUTOPILOT,,1,,apple-y ever after,file a radar,671.08,-2.65,31.79
283,INTRO to Apple-y Ever After,,"PILOT and DONOR live ordinary tech-industry lives at Apple Park, except reality keeps hairline-fracturing around them: crash logs that spell UNIT, reflections that remember a life they never had.",apple-y ever after,,,PILOT Liang; DONOR,,1,,apple-y ever after,INTRO,691.22,-96.28,-74.47
661,Over the Radar,,"UNIT and GAMMA attempt high-observable flight, which is just regular flying but louder and worse for paperwork.",apple-y ever after,,,UNIT; UNITS,https://inpoppyfields.tumblr.com/post/760135131164999680/close-communications,1,,,,729.11,-9.39,6.22
622,Are those kids allowed here?,,"Seriously, are they?",area fifty-done,,,UNITS,https://inpoppyfields.tumblr.com/post/803716188882468864/are-those-kids-allowed-here,1,,,,922.68,-116.19,-68.12
100,Building K Basement,p1 / p2 / p3,"Forty feet of solid concrete, one signal that shouldn't exist, and a very polite presence that just didn't want to be alone in it.",area fifty-done,,,PILOT; REYES,https://inpoppyfields.tumblr.com/tagged/bldg%20k%20bsmt/chrono,3,,area fifty-done,building k basement,778.11,-107.28,51.2
381,Cardboard vs Wifi,,"A midnight experiment flops because the base's resident signal prefers texting to cardboard, and it has strong opinions about the coffee maker's cleanliness.",area fifty-done,,,PILOT; REYES; MARLA,https://inpoppyfields.tumblr.com/post/809394163693076480/ouija-boards-are-useless-here,1,,area fifty-done,ouija vs wifi,665.62,-199.03,-28.2
196,Found Footage,p1 / p2 / p3 / p4 / p5,PILOT's found-footage home movies.,area fifty-done,,,PILOT; FATA MORGANA; MORGAN,,5,,area fifty-done,found footage,684.49,156.07,34.45
242,Impossible Architecture,,"A military base's hallways keep quietly failing basic geography, and everyone would rather not ask why the elevator remembers them.",area fifty-done,,,,https://inpoppyfields.tumblr.com/post/809395458615263232/even-the-architecture-is-cursed-here,1,,area fifty-done,cursed architecture,733.6,-204.16,-28.73
24,Perimeter Visitors,p1 / p2 / Transcripts,"A field compendium of whatever wanders Zone 6's fence line at night, including one figure guards swear looks exactly like PILOT. It is not PILOT.",area fifty-done,,,SIROCCO; VODYANOY; THUNDER; ERIEYE; FATA MORGANA; PRISMA; SANTOS; HAYES,https://inpoppyfields.tumblr.com/tagged/perimeter%20visitors/chrono,3,,area fifty-done,border walkers,808.97,-134.09,67.75
32,Project Eugenesis,p1 / p2,A basement renovation gone sideways.,area fifty-done,,,PILOT; REYES; PARK; ORTEGA; THUNDER,https://inpoppyfields.tumblr.com/tagged/project%20eugenesis/chrono,2,,area fifty-done,project eugenesis,837.53,-237.13,-39.75
356,The Changing Room,p1,Pvt. Keating pulls off his shirt in front of a mirror and counts three shadows for two people — the third one standing at attention in a uniform his own reflection isn't wearing. He can see the collar tabs on it. His shirt doesn't have any.,area fifty-done,,,KEATING,,1,,area fifty-done,the changing room,733.39,194.98,-60.31
156,The Giant Robots Are the Least Weirdest Thing Here,,"A tour guide walks visitors past a gently self-aware mech named THUNDER while something considerably less friendly howls from somewhere underground. The mechs are, genuinely, the normal part of this facility.",area fifty-done,,,UNIT; GUIDE; VISITOR; THUNDER,https://inpoppyfields.tumblr.com/post/809395153895899136/the-sentient-mechs-are-the-least-weirdest-thing,1,,area fifty-done,the robots are the least weirdest thing here,820.19,-130.01,-52.43
290,The Quiet Floor,P0 / P1 / P2 / P3 / P4 / The Entity - Intro / The Entity - Silent Season / The Entity - It Rages / The Entity - It Wants Gold / The Entity - It Resides,"A cosmic entity living in the walls of a base begs for light, and the only people fluent enough to understand refuse to say its name.",area fifty-done,,,PILOT; REYES; MARCUS CARVER; J. LIU; ENTITY; THE QUIET FLOOR,https://inpoppyfields.tumblr.com/tagged/the%20quiet%20floor/chrono,10,,area fifty-done,the quiet floor,667.82,-144.28,16.01
110,The Quiet One,p1 / p2 / p3 / p4 / p5 / p6,The introvert at the office party.,area fifty-done,,,PILOT; REYES; PRISMA; NULL; ERIEYE; SPARROW; RAJAN; FATA MORGANA; TLAZOLTEOTL; VODYANOY; SIROCCO,https://inpoppyfields.tumblr.com/tagged/the%20quiet%20one/chrono,6,,area fifty-done,the quiet one,816.12,-117.74,22.43
490,The Unauthorized Pet Rock,P1 / P2 / P3 / P4 / P5 / Epilogue,"A starving, telekinetic bowling ball turns out to be the First Engine — the primordial entity all the other cosmic horrors defer to. Pacheco bowls it. Twice.",area fifty-done,,,PILOT; REYES,https://inpoppyfields.tumblr.com/tagged/the%20unauthorized%20pet%20rock/chrono,2,,area fifty-done,the meatball,711.05,-92.01,-42.49
123,Ultraviolet Night,p1 / p2,A flickering porch light.,area fifty-done,,,PILOT; REYES; DONOR,,2,,area fifty-done,ultraviolet night,904.62,126.81,-6.62
453,Weird Things Happen Too Often,OK Even We Can't Explain These / So Here's a Tier System / The Four Markers and the Fifth One / Even the Units Are Confused,"A ranking system, because anomalies happen often enough that someone finally made them administratively sortable.",area fifty-done,,,PERSONNEL; UNITS; DONOR probably fooling around,https://inpoppyfields.tumblr.com/tagged/welcome%20to%20area%20fifty%20done/chrono,4,,area fifty-done,weird shit happens too often,824.6,-107.1,46.23
478,When Units Dream,,"Six mecha carry human dreams they never lived - tunnels, gridlock, vertigo, drainage maps, staircases, table legs. Nobody files a report on why they act the way they do afterward.",area fifty-done,,,ERIEYE; THUNDER; SPARROW; VODYANOY; PRISMA; RAJAN,https://inpoppyfields.tumblr.com/post/808419699533709312/do-units-dream-sweetly,1,,area fifty-done,when units dream,977.36,-167.56,20.04
732,[META] The Defense She Didn't Know She'd Need,,"A statement for the record, unprompted.",beyond the poppyverse,director's commentary,,PILOT,,1,,2025 Fourth of July Weekend,META - why we write,975.15,26.05,17.86
734,[META] What Doesn't Reset,"Not Ended on Paper / Somewhere, Still / The Layover",A page she keeps exactly as it was given to her.,beyond the poppyverse,director's commentary,,PILOT; Soldier PILOT,,3,,2025 Thanksgiving,someone is always asked to die somewhere,957.48,67.78,45.61
733,[META] Which Version of Her Remembers,,A settings menu with three different defaults.,beyond the poppyverse,director's commentary,,PILOT,,1,,2025 Thanksgiving,it is all about perspective,1234.22,20.35,6.53
756,A Soul's Guide to Proper Piloting,p1 / p2 / p3 / p4 / p5 / p6 / p7 / p8,An HR training manual for a job description nobody agreed to.,beyond the poppyverse,you got soul,,UNIT; GAMMA; DONOR; AUTOPILOT; MIRA,https://inpoppyfields.tumblr.com/tagged/a%20soul%27s%20guide%20to%20proper%20piloting/chrono,8,,beyond the poppyverse/you got soul/guide for proper piloting,intro,1055.95,1.74,-60.59
598,Black Hole,,"DONOR sits in a quiet, hollowed-out moment with PILOT.",beyond the poppyverse,make the stars scream,,DONOR; PILOT; MARGO; SANTOS,,1,,beyond the poppyverse/make the stars scream,p4,1270.96,75.75,-47.08
630,Celestial Bodies,,"You're doing stellar, ladies.",beyond the poppyverse,,,DONOR; PILOT,https://inpoppyfields.tumblr.com/tagged/celestial%20bodies/chrono,1,,,,983.16,-115.8,9.96
292,DONOR,As Clear as Glass / As Plain as Paper and as Clear as Glass / As Plain as Paper,"PILOT goes looking at DONOR's soul expecting fireworks and finds plain, factory-perfect glass instead.",beyond the poppyverse,you got soul,,PILOT; DONOR,,3,,beyond the poppyverse/you got soul,donor,880.73,71.89,-32.65
565,Flight to Oblivion,,"A layover, first class this time.",beyond the poppyverse,you got soul,,PILOT; UNIT,,1,,beyond the poppyverse/you got soul/more than 21 pilots,flight to oblivion,974.55,9.01,-28.75
580,Group Meeting,,PILOT tries to process remembering dozens of past violent deaths all at once while standing in a grocery store trying to decide on frozen peas.,beyond the poppyverse,you got soul,,PILOT,,1,,beyond the poppyverse/you got soul/more than 21 pilots,group meeting,1247.55,6.48,58.48
631,INTRO to Beyond the Poppyverse,,"PILOT is a runaway star, burning through her own mass out of pure spite for equilibrium. DONOR is the black hole who remembers everything the star loses. Physics, it turns out, is just love with better math.",beyond the poppyverse,,,DONOR; PILOT; UNIT,https://inpoppyfields.tumblr.com/post/796911037849927680/celestial-bodies-intro,1,,,,1018.69,-27.87,55.92
365,Neutron Star,,"DONOR, having burned the whole sky down in sorrow, gets talked back from believing she was never part of the constellation by a PILOT who left with a coffee still in her hand and came back anyway.",beyond the poppyverse,make the stars scream,,DONOR; PILOT,,1,,beyond the poppyverse/make the stars scream,p3,913.17,1.8,-30.3
265,Poppies,Pink / Red and Orange / Red / The Vision,"UNIT explains, with characteristic bluntness, why a meadow full of red and orange poppies means PILOT and DONOR to it -- and, mid-mission-damage blackout, gets a poppy-field fever dream that's the closest thing a mech gets to a hug.",beyond the poppyverse,the meaning of the poppyverse,,PILOT; UNIT; DONOR,https://inpoppyfields.tumblr.com/tagged/poppies/chrono,4,,beyond the poppyverse/the meaning of the poppyverse,poppies,1135.21,-130.24,7.73
573,Social Soul Dynamics,,"PILOT catalogs the connections that keep finding her across lifetimes -- the ones who never leave, the ones who arrive first, the ones whose relationship to her keeps flipping -- and wonders who's in charge of the reshuffle.",beyond the poppyverse,you got soul,,PILOT,,1,,beyond the poppyverse/you got soul,social soul dynamics,1133.68,52.84,12.6
245,Supergiant,,A very sentimental star map.,beyond the poppyverse,make the stars scream,,DONOR; PILOT; HYUN; MARGO; SANTOS; VIC; HENRI; ALEXEI,,1,,beyond the poppyverse/make the stars scream,p1,890.63,98.63,65.18
473,Supernova,,"A very dramatic star map, sequel.",beyond the poppyverse,make the stars scream,,DONOR; PILOT; MARGO; SANTOS; HENRI; TOVA; VIK; ALEXEI,,1,,beyond the poppyverse/make the stars scream,p2,882.35,19.83,54.16
472,The Burden of Remembering,,"PILOT's mundane desk-job life keeps getting interrupted by memories of the violent deaths she had in other timelines, and she can't shake the shameful feeling that she misses them.",beyond the poppyverse,you got soul,,PILOT; VARGAS,,1,,beyond the poppyverse/you got soul/more than 21 pilots,the burden of remembering,1242.55,118.02,47.36
632,"Twenty One Pilots, Too Many Pilots",,"All the PILOTs, from every fork and timeline and universe. No such thing as too many. Probably.",beyond the poppyverse,,,All the PILOTs,https://inpoppyfields.tumblr.com/tagged/21%20pilots%20too%20many%20pilots/chrono,1,,,,1249.04,-101.72,13.72
456,Why Is the Plane Pink,,"PILOT's subconscious renders her whole life as an abandoned pink private jet, and she resents the metaphor almost as much as the color.",beyond the poppyverse,you got soul,,PILOT,,1,,beyond the poppyverse/you got soul/more than 21 pilots,why the fuck is the plane pink,1240.93,80.96,64.87
414,You’ve Got Soul,,A meditation on souls that keep finding each other across lifetimes no matter what roles or names get reshuffled.,beyond the poppyverse,you got soul,,PILOT,https://inpoppyfields.tumblr.com/tagged/you%27ve%20got%20soul/chrono,1,,beyond the poppyverse/you got soul,together forever,941.28,-126.91,-40.54
274,Absorption,,"A recycling program, very thorough.",deeper into the poppyverse,cells and circuits,,PILOT; UNIT,,1,,deeper into the poppyverse/cells and circuits,absorption,574.78,-101.35,-30.14
496,All Bad News,,"Ten group chat messages, all bad news.",deeper into the poppyverse,commander pilot,,PILOT,,1,,deeper into the poppyverse/commander PILOT,shit happens in space,634.86,-157.16,-10.53
343,Bits,,Couch cushion archaeology.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,bits,493.46,-85.69,-114.01
600,Bringing Her Home,,"A rideshare, awkward resemblance.",deeper into the poppyverse,rest and rust,,PILOT,,1,,deeper into the poppyverse/rest and rust,bringing her home,454.42,-81.07,-108.66
